chart_date,rank,track_id
2019-12-30,1,97300759
2019-12-30,2,43175418
2019-12-30,3,49242281
2019-12-30,4,65026179
2019-12-30,5,45747378
2019-12-23,1,97300759
2019-12-23,2,65026179
2019-12-23,3,58706808
2019-12-23,4,29235463
2019-12-23,5,44307225
2019-12-16,1,77134093
2019-12-16,2,49242281
2019-12-16,3,65026179
2019-12-16,4,41156086
2019-12-16,5,43175418
2019-12-09,1,41156086
2019-12-09,2,84668472
2019-12-09,3,50671129
2019-12-09,4,48607236
2019-12-09,5,36646598
2019-12-02,1,55106984
2019-12-02,2,93080297
2019-12-02,3,31644836
2019-12-02,4,32947139
2019-12-02,5,81108336
2019-11-25,1,43175418
2019-11-25,2,43126954
2019-11-25,3,42869472
2019-11-25,4,55647024
2019-11-25,5,32947139
2019-11-18,1,65026179
2019-11-18,2,25658432
2019-11-18,3,33698487
2019-11-18,4,54847227
2019-11-18,5,91059830
2019-11-11,1,39798138
2019-11-11,2,54847227
2019-11-11,3,43126954
2019-11-11,4,74390860
2019-11-11,5,33698487
2019-11-04,1,43126954
2019-11-04,2,31597679
2019-11-04,3,42870434
2019-11-04,4,20234609
2019-11-04,5,68381324
2019-10-28,1,92887685
2019-10-28,2,60421254
2019-10-28,3,65089186
2019-10-28,4,80496120
2019-10-28,5,42870434
2019-10-21,1,60421254
2019-10-21,2,84668472
2019-10-21,3,43126954
2019-10-21,4,48607236
2019-10-21,5,36646598
2019-10-14,1,45941605
2019-10-14,2,14919602
2019-10-14,3,13999503
2019-10-14,4,70043958
2019-10-14,5,26673595
2019-10-07,1,14919602
2019-10-07,2,26673595
2019-10-07,3,39875630
2019-10-07,4,51429899
2019-10-07,5,46099220
2019-09-30,1,31057500
2019-09-30,2,49799822
2019-09-30,3,71290653
2019-09-30,4,26673595
2019-09-30,5,37118486
2019-09-23,1,71290653
2019-09-23,2,39418225
2019-09-23,3,39875630
2019-09-23,4,81211907
2019-09-23,5,31737051
2019-09-16,1,39875630
2019-09-16,2,71290653
2019-09-16,3,19538943
2019-09-16,4,51584919
2019-09-16,5,75745526
2019-09-09,1,25944643
2019-09-09,2,23430541
2019-09-09,3,91856325
2019-09-09,4,19538943
2019-09-09,5,54218852
2019-09-02,1,91856325
2019-09-02,2,39875630
2019-09-02,3,62260603
2019-09-02,4,36225756
2019-09-02,5,55754701
2019-08-26,1,93080297
2019-08-26,2,40335568
2019-08-26,3,39875630
2019-08-26,4,58394821
2019-08-26,5,95196195
2019-08-19,1,40335568
2019-08-19,2,37137095
2019-08-19,3,38614316
2019-08-19,4,94633712
2019-08-19,5,46967922
2019-08-12,1,72144505
2019-08-12,2,51429899
2019-08-12,3,36646598
2019-08-12,4,46967922
2019-08-12,5,38614316
2019-08-05,1,72144505
2019-08-05,2,46967922
2019-08-05,3,26673595
2019-08-05,4,49799822
2019-08-05,5,31057500
2019-07-29,1,26673595
2019-07-29,2,49799822
2019-07-29,3,31057500
2019-07-29,4,44591487
2019-07-29,5,51584919
2019-07-22,1,31057500
2019-07-22,2,26673595
2019-07-22,3,39875630
2019-07-22,4,44591487
2019-07-22,5,51584919
2019-07-15,1,31057500
2019-07-15,2,41902284
2019-07-15,3,26673595
2019-07-15,4,31818384
2019-07-15,5,27018784
2019-07-08,1,31057500
2019-07-08,2,94633712
2019-07-08,3,46099220
2019-07-08,4,24251927
2019-07-08,5,86794545
2019-07-01,1,44591487
2019-07-01,2,46542111
2019-07-01,3,42369493
2019-07-01,4,68193748
2019-07-01,5,35594958
2019-06-24,1,81798885
2019-06-24,2,46099220
2019-06-24,3,74238339
2019-06-24,4,76865762
2019-06-24,5,67792917
2019-06-17,1,86267388
2019-06-17,2,76865762
2019-06-17,3,39875630
2019-06-17,4,51584919
2019-06-17,5,95196195
2019-06-10,1,39875630
2019-06-10,2,76578591
2019-06-10,3,41902284
2019-06-10,4,78062325
2019-06-10,5,73870512
2019-06-03,1,41902284
2019-06-03,2,39875630
2019-06-03,3,74238339
2019-06-03,4,51584919
2019-06-03,5,93080297
2019-05-27,1,29956097
2019-05-27,2,41902284
2019-05-27,3,54680971
2019-05-27,4,74238339
2019-05-27,5,60421254
2019-05-20,1,29956097
2019-05-20,2,44481893
2019-05-20,3,41902284
2019-05-20,4,33698487
2019-05-20,5,74238339
2019-05-13,1,29956097
2019-05-13,2,81798885
2019-05-13,3,39875630
2019-05-13,4,51584919
2019-05-13,5,93080297
2019-05-06,1,39875630
2019-05-06,2,93080297
2019-05-06,3,41902284
2019-05-06,4,98992509
2019-05-06,5,42847752
2019-04-29,1,39875630
2019-04-29,2,74238339
2019-04-29,3,44481893
2019-04-29,4,54680971
2019-04-29,5,51584919
2019-04-22,1,54680971
2019-04-22,2,44481893
2019-04-22,3,39875630
2019-04-22,4,93080297
2019-04-22,5,57241531
2019-04-15,1,41902284
2019-04-15,2,54680971
2019-04-15,3,39875630
2019-04-15,4,44481893
2019-04-15,5,42847752
2019-04-08,1,54680971
2019-04-08,2,41902284
2019-04-08,3,42847752
2019-04-08,4,39875630
2019-04-08,5,91857107
2019-04-01,1,75361698
2019-04-01,2,25393644
2019-04-01,3,97425071
2019-04-01,4,62526429
2019-04-01,5,41156086
2019-03-25,1,67995517
2019-03-25,2,25393644
2019-03-25,3,93080297
2019-03-25,4,67374090
2019-03-25,5,98992509
2019-03-18,1,44481893
2019-03-18,2,76578591
2019-03-18,3,24462006
2019-03-18,4,45747378
2019-03-18,5,19538943
2019-03-11,1,24462006
2019-03-11,2,18387986
2019-03-11,3,97425071
2019-03-11,4,45747378
2019-03-11,5,22928531
2019-03-04,1,97300759
2019-03-04,2,31818384
2019-03-04,3,98992509
2019-03-04,4,45747378
2019-03-04,5,93080297
2019-02-25,1,31818384
2019-02-25,2,25393644
2019-02-25,3,98992509
2019-02-25,4,19538943
2019-02-25,5,44049575
2019-02-18,1,67995517
2019-02-18,2,25393644
2019-02-18,3,67374090
2019-02-18,4,44049575
2019-02-18,5,85409790
2019-02-11,1,98992509
2019-02-11,2,93080297
2019-02-11,3,55106984
2019-02-11,4,19538943
2019-02-11,5,45747378
2019-02-04,1,26636869
2019-02-04,2,12440363
2019-02-04,3,74392904
2019-02-04,4,97239741
2019-02-04,5,63934979
2019-01-28,1,26636869
2019-01-28,2,58396149
2019-01-28,3,97300759
2019-01-28,4,44307225
2019-01-28,5,29235463
2019-01-21,1,58396149
2019-01-21,2,97300759
2019-01-21,3,58706808
2019-01-21,4,29235463
2019-01-21,5,76932523
2019-01-14,1,43175418
2019-01-14,2,58706808
2019-01-14,3,97300759
2019-01-14,4,65026179
2019-01-14,5,49242281
2019-01-07,1,97300759
2019-01-07,2,58706808
2019-01-07,3,44307225
2019-01-07,4,43175418
2019-01-07,5,65026179
2019-01-14,1,43175418
2020-01-14,2,58706808
2020-01-14,3,97300759
2020-01-14,4,65026179
2020-01-14,5,49242281
2020-01-07,1,97300759
2020-01-07,2,58706808
2020-01-07,3,44307225
2020-01-07,4,43175418
2020-01-07,5,65026179
