artist,title,key,song_url,artist_url
AJR,100 Bad Days,12440363,25ec3568d3a1e741d0fa3d9c9cb539349a5c923b,c3c913b76f3c7f6de6c464ac1ae357a412adf79f
ODESZA,A Moment Apart,44591487,b1e7ba9df703f098d879960c11eb6552024b152f,2d45e04208b55f434f31c6a46ee33e1693d23a9b
Jon Bellion,All Time Low,62526429,7f23b2293c5c95cd9bd2790195e02af36d7b0c9a,c130cf4ab4e8a9b8046153102bccedae5ad6d8ed
Andy Grammer,All Time Low - Recorded at Spotify Studios NYC,55647024,0c958fc26932ffa26cc4dc0504cf8aa506559e74,a8660c4ae74a883067345f1bc0095b2c291d2e3c
AllttA,AllttA,48607236,46356124170a9e13761cdf5e105cc369b12d80e1,7886e77283859d10a57924b3085a8766d0d461ff
Banx & Ranx,Answerphone (feat. Yxng Bane),94633712,765f451f87b98f0edf8b92481160824405f98c8f,12e45197cdf4c687cb43051d13169f937244b211
Sia,Audio,74392904,8abe798f49d68fc95c7a27d3127ffacd4e04d1b9,652b6bb0dfaf8aa444f4414ee018699260e74306
Billie Eilish,bad guy,74238339,11fadb5f777b56f8800d67365bc0b50bfe0d827a,bcf71477d890a736eb769dc5f8af4e7d28278824
Imagine Dragons,Bad Liar,33698487,fc5f6cf3c0c67f69d9d73b0f907628e5d6fa1968,01b36ca0f45f2f15117022a2754287a6ca1acdcc
Ludwig van Beethoven,Beethoven : Symphony No.2 in D major Op.36 : I Adagio molto - Allegro con brio,37118486,48c80526b76467b7020e1f928c88da94bb58b9c3,db022999443da6f89e250086329d98b17399b346
Khalid,Better,81108336,bb49bfad30f0729f70f8e9bd9c4ffb569c861698,93fec27f9aac86526b9010e882037afbda4e3d5f
Post Malone,Better Now,68193748,bb49bfad30f0729f70f8e9bd9c4ffb569c861698,93fec27f9aac86526b9010e882037afbda4e3d5f
Billie Eilish,Billie Eilish - wish you were gay,54680971,b356446fa6765a17f64a5bfad8a23bf1ce85a5ab,bcf71477d890a736eb769dc5f8af4e7d28278824
Wrabel,Bloodstain,58394821,bd3406a0837816d456c8ce948f7ebbb06044c8be,e4d5f9d0ced52e2ae3a80f81079f9f056abe7a5c
Imagine Dragons,Boomerang,54847227,5a0d02d7849da2333cd32582759fb7653d0ab836,01b36ca0f45f2f15117022a2754287a6ca1acdcc
Billie Eilish,Bored,31818384,9604c7d854c5f1f5073c8397aead7095e3698c4f,b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
Imagine Dragons,Bullet In A Gun,25658432,a065872f873a4214e3d072512af8dd623a9742c1,01b36ca0f45f2f15117022a2754287a6ca1acdcc
AJR,Burn the House Down,29235463,6c0cb6f0dacc183603ae0e0ceeccd9100ba9e2c4,c3c913b76f3c7f6de6c464ac1ae357a412adf79f
Billie Eilish,bury a friend,98992509,697c874cdd9cfd73e1265673f389c86ecec31165,bcf71477d890a736eb769dc5f8af4e7d28278824
